	ID	cluster	start	stop	strand	family	length of spanned region	genome	contig
101	AA12_2_IS_21	IS3_168	206786	208016	-	IS3	1230	AA12	AA12_2
104	AA12_2_IS_22	IS110_208	218591	219964	+	IS110	1373	AA12	AA12_2
107	AA12_2_IS_23	IS110_170	220187	221786	-	IS110	1599	AA12	AA12_2
110	AA12_2_IS_24	IS6_303	221567	222385	-	IS6	818	AA12	AA12_2
113	AA12_2_IS_25	IS3_271	227726	228896		IS3	1170	AA12	AA12_2
116	AA12_2_IS_26	IS110_142	235628	236822	-	IS110	1194	AA12	AA12_2
119	AA12_2_IS_27	IS6_303	239338	242221	+	IS6	2883	AA12	AA12_2
120	AA12_2_IS_28	IS3_168	260858	262086	+	IS3	1228	AA12	AA12_2
123	AA12_2_IS_29	IS110_208	266184	273355	+	IS110	7171	AA12	AA12_2
126	AA12_2_IS_30	IS6_292	277266	280186	-	IS6	2920	AA12	AA12_2
127	AA12_2_IS_31	IS110_184	280035	285772		IS110	5737	AA12	AA12_2
130	AA12_3_IS_1	IS110_179	47960	49557	-	IS110	1597	AA12	AA12_3
133	AA12_3_IS_2	IS3_271	75569	76785	+	IS3	1216	AA12	AA12_3
136	AA12_3_IS_3	IS110_208	94227	95601	-	IS110	1374	AA12	AA12_3
139	AA12_3_IS_4	IS3_465	95685	96440	+	IS3	755	AA12	AA12_3
142	AA12_3_IS_5	IS110_184	98990	100234	+	IS110	1244	AA12	AA12_3
145	AA12_3_IS_6	IS3_271	102994	104210	-	IS3	1216	AA12	AA12_3
148	AA12_5_IS_1	IS110_184	18479	25644	+	IS110	7165	AA12	AA12_5
151	AA12_5_IS_2	IS1182_100	48118	49647		IS1182	1529	AA12	AA12_5
154	AA12_5_IS_3	IS1182_100	49654	51184	-	IS1182	1530	AA12	AA12_5
157	AA12_5_IS_4	IS3_271	125689	126886	+	IS3	1197	AA12	AA12_5
160	AA12_5_IS_5	IS1182_100	233734	235266	+	IS1182	1532	AA12	AA12_5
163	AA12_5_IS_6	IS3_168	441733	442963	+	IS3	1230	AA12	AA12_5
166	AA12_5_IS_7	IS3_168	596235	597465		IS3	1230	AA12	AA12_5
169	AA12_5_IS_8	IS1182_100	632613	634191		IS1182	1578	AA12	AA12_5
172	AA12_5_IS_9	IS3_271	651976	653146	+	IS3	1170	AA12	AA12_5
175	AA12_5_IS_10	IS1182_100	653156	654700		IS1182	1544	AA12	AA12_5
178	AA12_5_IS_11	IS1182_100	659048	660572	+	IS1182	1524	AA12	AA12_5
181	AA12_5_IS_12	IS3_271	662181	663351	+	IS3	1170	AA12	AA12_5
184	AA12_5_IS_13	IS1182_100	671470	673000		IS1182	1530	AA12	AA12_5
187	AA12_5_IS_14	IS110_184	677864	679436	+	IS110	1572	AA12	AA12_5
190	AA12_5_IS_15	IS6_292	679460	680622	-	IS6	1162	AA12	AA12_5
193	AA12_5_IS_16	IS1182_100	685253	686783	+	IS1182	1530	AA12	AA12_5
196	AA12_5_IS_17	IS3_271	700899	702069	+	IS3	1170	AA12	AA12_5
199	AA12_5_IS_18	IS3_271	728793	729963	+	IS3	1170	AA12	AA12_5
202	AA12_5_IS_19	IS110_208	779029	780505	+	IS110	1476	AA12	AA12_5
205	AA12_5_IS_20	IS1182_100	812916	814445		IS1182	1529	AA12	AA12_5
208	AA12_5_IS_21	IS6_303	827400	828208	-	IS6	808	AA12	AA12_5
211	AA12_5_IS_22	IS6_303	848910	849718		IS6	808	AA12	AA12_5
214	AA12_5_IS_23	IS3_271	853476	854673	+	IS3	1197	AA12	AA12_5
217	AA12_5_IS_24	IS110_208	874802	876264		IS110	1462	AA12	AA12_5
220	AA12_5_IS_25	IS110_142	877222	879024	-	IS110	1802	AA12	AA12_5
223	AA12_5_IS_26	IS3_271	936843	938013	-	IS3	1170	AA12	AA12_5
226	AA12_5_IS_27	IS3_271	949067	950237	+	IS3	1170	AA12	AA12_5
229	AA12_5_IS_28	IS1182_100	1107463	1108995		IS1182	1532	AA12	AA12_5
232	AA12_5_IS_29	IS1182_100	1109002	1110531		IS1182	1529	AA12	AA12_5
235	AA12_5_IS_30	IS1182_100	1289557	1291112	+	IS1182	1555	AA12	AA12_5
238	AA12_5_IS_31	IS110_208	1787933	1789210	+	IS110	1277	AA12	AA12_5
241	AA12_5_IS_32	IS1182_100	1839125	1840655	+	IS1182	1530	AA12	AA12_5
244	AA12_5_IS_33	IS3_271	1844871	1846040		IS3	1169	AA12	AA12_5
247	AA12_5_IS_34	IS3_271	1858399	1859569	+	IS3	1170	AA12	AA12_5
250	AA12_5_IS_35	IS3_271	1866633	1867830	+	IS3	1197	AA12	AA12_5
253	AA12_5_IS_36	IS1182_100	1870093	1871550	-	IS1182	1457	AA12	AA12_5
256	AA12_5_IS_37	IS3_168	1871025	1872255	-	IS3	1230	AA12	AA12_5
259	AA12_5_IS_38	IS110_170	1873037	1874487	+	IS110	1450	AA12	AA12_5
262	AA12_5_IS_39	IS3_271	1877181	1878351	-	IS3	1170	AA12	AA12_5
265	AA12_5_IS_40	IS3_271	1885387	1886557	+	IS3	1170	AA12	AA12_5
268	AA12_5_IS_41	IS3_239|IS3||protein:plasmid:133558	1887854	1889133	-	IS3	1279	AA12	AA12_5
271	AA12_5_IS_42	IS110_208	1889531	1890994		IS110	1463	AA12	AA12_5
274	AA12_5_IS_43	IS1182_100	1904196	1905726		IS1182	1530	AA12	AA12_5
277	AA12_5_IS_44	IS3_271	1907301	1908471	-	IS3	1170	AA12	AA12_5
280	AA12_5_IS_45	IS3_271	1938008	1939224	-	IS3	1216	AA12	AA12_5
283	AA12_5_IS_46	IS3_271	1940133	1941303	-	IS3	1170	AA12	AA12_5
286	AA12_5_IS_47	IS3_271	2305068	2306237		IS3	1169	AA12	AA12_5
289	AA12_5_IS_48	IS3_271	2330587	2331757	-	IS3	1170	AA12	AA12_5
292	AA12_5_IS_49	IS110_179	2434468	2435566	+	IS110	1098	AA12	AA12_5
295	AA12_5_IS_50	IS3_271	2660986	2662156	+	IS3	1170	AA12	AA12_5
298	AA12_5_IS_51	IS3_271	3156297	3157466		IS3	1169	AA12	AA12_5
301	AA12_5_IS_52	IS3_271	3158379	3159549	-	IS3	1170	AA12	AA12_5
304	AA12_5_IS_53	IS110_184	3183014	3184609	+	IS110	1595	AA12	AA12_5
307	AA12_5_IS_54	IS3_271	3697041	3698238	-	IS3	1197	AA12	AA12_5
310	AA12_5_IS_55	IS1182_100	4165008	4166540	-	IS1182	1532	AA12	AA12_5
313	AA12_5_IS_56	IS1182_100	4366833	4368363		IS1182	1530	AA12	AA12_5
316	AA12_5_IS_57	IS110_184	4522804	4529970	+	IS110	7166	AA12	AA12_5
319	AA12_6_IS_1	IS110_184	14581	15825	+	IS110	1244	AA12	AA12_6
0	AC2_1_IS_1	IS5_108	10	4694		IS5	4684	AC2	AC2_1
3	AC2_1_IS_2	IS5_108	12011	13506		IS5	1495	AC2	AC2_1
6	AC2_1_IS_3	IS5_108	233099	234595		IS5	1496	AC2	AC2_1
9	AC2_1_IS_4	IS5_108	426366	427859		IS5	1493	AC2	AC2_1
12	AC2_1_IS_5	IS5_108	452207	453702	-	IS5	1495	AC2	AC2_1
15	AC2_1_IS_6	IS5_279	743019	743854	+	IS5	835	AC2	AC2_1
18	AC2_1_IS_7	IS256_92	840337	841749		IS256	1412	AC2	AC2_1
21	AC2_1_IS_8	IS5_302	843336	844192	+	IS5	856	AC2	AC2_1
24	AC2_1_IS_9	IS256_92	846439	847852		IS256	1413	AC2	AC2_1
27	AC2_1_IS_10	IS1634_37	848709	850599	+	IS1634	1890	AC2	AC2_1
30	AC2_1_IS_11	IS5_108	851154	852653	-	IS5	1499	AC2	AC2_1
33	AC2_1_IS_12	IS1634_37	857315	859205	-	IS1634	1890	AC2	AC2_1
36	AC2_1_IS_13	IS5_108	860513	862009		IS5	1496	AC2	AC2_1
39	AC2_1_IS_14	IS1634_37	868061	869951	-	IS1634	1890	AC2	AC2_1
42	AC2_1_IS_15	IS5_222	886847	887897	+	IS5	1050	AC2	AC2_1
45	AC2_1_IS_16	IS1595_235	1082551	1083830	+	IS1595	1279	AC2	AC2_1
48	AC2_1_IS_17	IS5_108	1083933	1085431		IS5	1498	AC2	AC2_1
51	AC2_1_IS_18	IS5_108	1392262	1393760		IS5	1498	AC2	AC2_1
54	AC2_1_IS_19	IS5_108	1630181	1631676	-	IS5	1495	AC2	AC2_1
57	AC2_1_IS_20	IS5_302	2243610	2244466	-	IS5	856	AC2	AC2_1
60	AC2_1_IS_21	IS1182_100	2244745	2246276		IS1182	1531	AC2	AC2_1
63	AC2_1_IS_22	IS256_92	2888311	2889725		IS256	1414	AC2	AC2_1
66	AC2_1_IS_23	IS5_108	2890129	2891628		IS5	1499	AC2	AC2_1
69	AC2_1_IS_24	IS1182_100	3063132	3064664	+	IS1182	1532	AC2	AC2_1
72	AC2_1_IS_25	IS5_108	3068141	3069638		IS5	1497	AC2	AC2_1
75	AC2_1_IS_26	IS5_302	3069820	3070673	+	IS5	853	AC2	AC2_1
78	AC2_1_IS_27	IS5_302	3197239	3198093	+	IS5	854	AC2	AC2_1
81	AC2_1_IS_28	IS1634_37	3267358	3269248	-	IS1634	1890	AC2	AC2_1
84	AC2_1_IS_29	IS5_108	3300140	3301634		IS5	1494	AC2	AC2_1
87	AC2_1_IS_30	IS1634_37	3484597	3486487	-	IS1634	1890	AC2	AC2_1
90	AC2_1_IS_31	IS5_108	3486541	3488036	-	IS5	1495	AC2	AC2_1
93	AC2_1_IS_32	IS5_108	3488294	3489788		IS5	1494	AC2	AC2_1
96	AC2_1_IS_33	IS5_108	3494975	3496470		IS5	1495	AC2	AC2_1
99	AC2_1_IS_34	IS1182_100	3500085	3501619	+	IS1182	1534	AC2	AC2_1
102	AC2_1_IS_35	IS5_108	3514142	3515638		IS5	1496	AC2	AC2_1
105	AC2_1_IS_36	IS1634_37	3524667	3526557	+	IS1634	1890	AC2	AC2_1
108	AC2_1_IS_37	IS5_302	3528373	3529228	+	IS5	855	AC2	AC2_1
111	AC2_1_IS_38	IS5_222	3605324	3606408	-	IS5	1084	AC2	AC2_1
114	AC2_1_IS_39	IS5_108	3628452	3629949	-	IS5	1497	AC2	AC2_1
117	AC2_1_IS_40	IS5_222	3630541	3631591	-	IS5	1050	AC2	AC2_1
120	AC2_1_IS_41	IS5_279	3719621	3720456	+	IS5	835	AC2	AC2_1
123	AC2_1_IS_42	IS110_208	3928465	3929802	+	IS110	1337	AC2	AC2_1
126	AC2_1_IS_43	IS5_108	3936263	3937757		IS5	1494	AC2	AC2_1
129	AC2_1_IS_44	IS1634_37	3946800	3948690	+	IS1634	1890	AC2	AC2_1
132	AC2_1_IS_45	IS256_92	3952359	3953772		IS256	1413	AC2	AC2_1
135	AC2_1_IS_46	IS3_271	4085291	4086509	+	IS3	1218	AC2	AC2_1
138	AC2_1_IS_47	IS1634_37	4101437	4103327	-	IS1634	1890	AC2	AC2_1
141	AC2_1_IS_48	IS5_108	4110176	4111675	+	IS5	1499	AC2	AC2_1
144	AC2_1_IS_49	IS110_208	4131972	4133315	-	IS110	1343	AC2	AC2_1
147	AC2_1_IS_50	IS1634_37	4186555	4188444		IS1634	1889	AC2	AC2_1
150	AC2_1_IS_51	IS5_108	4270744	4272241	-	IS5	1497	AC2	AC2_1
153	AC2_1_IS_52	IS5_108	4278029	4279401	-	IS5	1372	AC2	AC2_1
156	AC2_1_IS_53	IS1634_37	4286319	4288209	+	IS1634	1890	AC2	AC2_1
159	AC2_1_IS_54	IS6_303	4313821	4314629	+	IS6	808	AC2	AC2_1
162	AC2_1_IS_55	IS5_108	4319977	4321470		IS5	1493	AC2	AC2_1
165	AC2_1_IS_56	IS110_184	4326604	4327926	-	IS110	1322	AC2	AC2_1
168	AC2_1_IS_57	IS110_151	4340749	4342163	+	IS110	1414	AC2	AC2_1
171	AC2_1_IS_58	IS1182_100	4342477	4344010		IS1182	1533	AC2	AC2_1
174	AC2_1_IS_59	IS5_108	4370785	4372281		IS5	1496	AC2	AC2_1
177	AC2_1_IS_60	IS5_279	4374109	4374944	-	IS5	835	AC2	AC2_1
180	AC2_1_IS_61	IS1182_100	4404071	4405611	-	IS1182	1540	AC2	AC2_1
183	AC2_1_IS_62	IS5_108	4416811	4418308		IS5	1497	AC2	AC2_1
186	AC2_1_IS_63	IS256_92	4419032	4420446	+	IS256	1414	AC2	AC2_1
189	AC2_1_IS_64	IS5_108	4471900	4473397	+	IS5	1497	AC2	AC2_1
192	AC2_1_IS_65	IS5_108	4472679	4478106		IS5	5427	AC2	AC2_1
193	AC2_1_IS_66	IS5_108	4484712	4486209		IS5	1497	AC2	AC2_1
196	AC2_2_IS_1	IS21_67	9500	11932	+	IS21	2432	AC2	AC2_2
199	AC2_2_IS_2	IS5_279	48571	49408	-	IS5	837	AC2	AC2_2
202	AC2_2_IS_3	IS5_108	59320	60817	+	IS5	1497	AC2	AC2_2
205	AC2_2_IS_4	IS5_108	62459	63955		IS5	1496	AC2	AC2_2
208	AC2_2_IS_5	IS110_184	152084	153233	-	IS110	1149	AC2	AC2_2
211	AC2_2_IS_6	IS5_108	200870	202366		IS5	1496	AC2	AC2_2
214	AC2_2_IS_7	IS1182_100	890563	892095	+	IS1182	1532	AC2	AC2_2
217	AC2_2_IS_8	IS21_67	895223	897654		IS21	2431	AC2	AC2_2
220	AC2_2_IS_9	IS5_108	898376	899872		IS5	1496	AC2	AC2_2
223	AC2_2_IS_10	IS21_67	925252	927684		IS21	2432	AC2	AC2_2
226	AC2_2_IS_11	IS256_92	960902	962322	+	IS256	1420	AC2	AC2_2
229	AC2_2_IS_12	IS5_108	1002504	1003999	+	IS5	1495	AC2	AC2_2
232	AC2_2_IS_13	IS6_292	1052523	1053336		IS6	813	AC2	AC2_2
235	AC2_2_IS_14	IS1634_37	1057679	1060071	-	IS1634	2392	AC2	AC2_2
238	AC2_2_IS_15	IS6_292	1060412	1061230	-	IS6	818	AC2	AC2_2
241	AC2_2_IS_16	IS5_108	1070414	1071911	+	IS5	1497	AC2	AC2_2
244	AC2_2_IS_17	IS6_292	1073764	1074578	-	IS6	814	AC2	AC2_2
247	AC2_2_IS_18	IS6_292	1161296	1162112	-	IS6	816	AC2	AC2_2
250	AC2_2_IS_19	IS21_67	1231196	1233625		IS21	2429	AC2	AC2_2
253	AC2_3_IS_1	IS6_303	494	3171	+	IS6	2677	AC2	AC2_3
254	AC2_3_IS_2	IS5_108	17174	18676		IS5	1502	AC2	AC2_3
257	AC2_3_IS_3	IS110_208	40868	42238	+	IS110	1370	AC2	AC2_3
260	AC2_3_IS_4	IS3_271	48529	49745	-	IS3	1216	AC2	AC2_3
263	AC2_3_IS_5	IS110_208	52913	54664	-	IS110	1751	AC2	AC2_3
266	AC2_3_IS_6	IS1182_100	109476	111008	+	IS1182	1532	AC2	AC2_3
269	AC2_3_IS_7	IS5_108	113187	114686	+	IS5	1499	AC2	AC2_3
272	AC2_3_IS_8	IS3_271	118769	119985	-	IS3	1216	AC2	AC2_3
275	AC2_3_IS_9	IS1380_105	124072	125745	+	IS1380	1673	AC2	AC2_3
278	AC2_3_IS_10	IS5_108	127448	128942		IS5	1494	AC2	AC2_3
281	AC2_3_IS_11	IS3_271	131280	132496		IS3	1216	AC2	AC2_3
284	AC2_3_IS_12	IS256_92	136175	137589		IS256	1414	AC2	AC2_3
287	AC2_3_IS_13	IS256_92	139711	141122		IS256	1411	AC2	AC2_3
290	AC2_3_IS_14	new_6	154827	157984		new	3157	AC2	AC2_3
293	AC2_3_IS_15	IS1182_100	160034	161565		IS1182	1531	AC2	AC2_3
296	AC2_3_IS_16	IS110_208	161630	162974	+	IS110	1344	AC2	AC2_3
299	AC2_3_IS_17	IS6_303	199260	200218		IS6	958	AC2	AC2_3
302	AC2_3_IS_18	IS5_108	211606	213098		IS5	1492	AC2	AC2_3
305	AC2_3_IS_19	IS256_92	227382	228794	-	IS256	1412	AC2	AC2_3
308	AC2_3_IS_20	IS1634_37	231920	233810	-	IS1634	1890	AC2	AC2_3
311	AC2_3_IS_21	IS5_108	234555	236052	-	IS5	1497	AC2	AC2_3
314	AC2_3_IS_22	IS1634_37	243344	245234	-	IS1634	1890	AC2	AC2_3
317	AC2_3_IS_23	IS256_195	250991	252656		IS256	1665	AC2	AC2_3
320	AC2_3_IS_24	IS110_184	253894	258065	-	IS110	4171	AC2	AC2_3
323	AC2_3_IS_25	IS481_240	306719	307457	+	IS481	738	AC2	AC2_3
326	AC2_3_IS_26	IS630_247	312740	313795		IS630	1055	AC2	AC2_3
329	AC2_3_IS_27	IS5_108	314187	315681		IS5	1494	AC2	AC2_3
332	AC2_3_IS_28	new_6	327224	330382	-	new	3158	AC2	AC2_3
335	AC2_3_IS_29	IS3_168	330550	331780	-	IS3	1230	AC2	AC2_3
338	AC2_3_IS_30	IS630_247	333855	334908		IS630	1053	AC2	AC2_3
341	AC2_3_IS_31	IS256_195	340677	342343	-	IS256	1666	AC2	AC2_3
344	AC2_3_IS_32	IS630_247	355835	356891	-	IS630	1056	AC2	AC2_3
347	AC2_3_IS_33	IS3_271	369440	370655		IS3	1215	AC2	AC2_3
350	AC2_3_IS_34	IS110_184	371396	375558	-	IS110	4162	AC2	AC2_3
353	AC2_3_IS_35	IS1182_100	404460	405992	+	IS1182	1532	AC2	AC2_3
356	AC2_3_IS_36	IS5_108	419111	420606	-	IS5	1495	AC2	AC2_3
359	AC2_3_IS_37	IS5_222	429024	430100	-	IS5	1076	AC2	AC2_3
362	AC2_3_IS_38	IS5_222	438812	439888	-	IS5	1076	AC2	AC2_3
365	AC2_3_IS_39	IS5_108	440118	441615	+	IS5	1497	AC2	AC2_3
368	AC2_3_IS_40	IS1634_37	442427	444316		IS1634	1889	AC2	AC2_3
371	AC2_3_IS_41	IS630_247	458433	459488		IS630	1055	AC2	AC2_3
374	AC2_3_IS_42	IS6_303	461245	463926		IS6	2681	AC2	AC2_3
375	AC2_3_IS_43	IS5_108	477932	479434		IS5	1502	AC2	AC2_3
378	AC2_4_IS_1	IS5_108	30116	31611	+	IS5	1495	AC2	AC2_4
381	AC2_4_IS_2	IS110_208	62768	64108	+	IS110	1340	AC2	AC2_4
384	AC2_4_IS_3	IS110_184	85614	86921	-	IS110	1307	AC2	AC2_4
387	AC2_4_IS_4	IS5_108	97376	98872		IS5	1496	AC2	AC2_4
390	AC2_4_IS_5	IS6_292	100460	101292	+	IS6	832	AC2	AC2_4
393	AC2_4_IS_6	IS6_292	108314	109131	+	IS6	817	AC2	AC2_4
396	AC2_4_IS_7	IS5_108	125077	126576	+	IS5	1499	AC2	AC2_4
399	AC2_4_IS_8	IS256_92	127897	129310		IS256	1413	AC2	AC2_4
402	AC2_4_IS_9	IS6_303	137479	138287		IS6	808	AC2	AC2_4
405	AC2_4_IS_10	IS5_108	140511	142009		IS5	1498	AC2	AC2_4
408	AC2_4_IS_11	IS256_92	150663	152077		IS256	1414	AC2	AC2_4
411	AC2_4_IS_12	IS3_168	152262	153557	+	IS3	1295	AC2	AC2_4
414	AC2_4_IS_13	IS5_108	161321	162816	+	IS5	1495	AC2	AC2_4
417	AC2_4_IS_14	IS4_169	166869	168808	+	IS4	1939	AC2	AC2_4
420	AC2_4_IS_15	IS110_184	168352	169839	+	IS110	1487	AC2	AC2_4
423	AC2_4_IS_16	IS256_92	171982	173395		IS256	1413	AC2	AC2_4
426	AC2_4_IS_17	IS6_303	174617	175425	+	IS6	808	AC2	AC2_4
429	AC2_4_IS_18	IS6_303	182899	184366	+	IS6	1467	AC2	AC2_4
432	AC2_4_IS_19	IS6_292	183914	184906	+	IS6	992	AC2	AC2_4
435	AC2_4_IS_20	IS5_222	206916	207965	+	IS5	1049	AC2	AC2_4
438	AC2_4_IS_21	IS5_108	243922	245418		IS5	1496	AC2	AC2_4
441	AC2_4_IS_22	IS6_292	248427	249251	-	IS6	824	AC2	AC2_4
444	AC2_4_IS_23	IS3_239|IS3||protein:plasmid:133558	251601	252518	+	IS3	917	AC2	AC2_4
447	AC2_4_IS_24	IS5_222	253895	254973	+	IS5	1078	AC2	AC2_4
450	AC2_4_IS_25	IS5_222	263345	264423		IS5	1078	AC2	AC2_4
453	AC2_4_IS_26	IS6_292	266609	267433		IS6	824	AC2	AC2_4
456	AC2_4_IS_27	IS6_292	276784	277608		IS6	824	AC2	AC2_4
459	AC2_4_IS_28	IS6_292	280067	280891		IS6	824	AC2	AC2_4
462	AC2_4_IS_29	IS110_179	286026	287717	+	IS110	1691	AC2	AC2_4
465	AC2_4_IS_30	IS256_92	287635	289050	+	IS256	1415	AC2	AC2_4
468	AC2_4_IS_31	IS256_128	291256	292522	-	IS256	1266	AC2	AC2_4
471	AC2_4_IS_32	IS110_184	293211	294359	-	IS110	1148	AC2	AC2_4
474	AC2_4_IS_33	IS6_292	297470	298294		IS6	824	AC2	AC2_4
477	AC2_4_IS_34	IS5_108	330085	331582	+	IS5	1497	AC2	AC2_4
480	AC2_4_IS_35	IS5_108	366618	368112		IS5	1494	AC2	AC2_4
483	AC2_4_IS_36	IS3_271	371789	373024	-	IS3	1235	AC2	AC2_4
486	AC2_4_IS_37	IS1634_37	376515	378405	+	IS1634	1890	AC2	AC2_4
489	AC2_5_IS_1	IS1182_71	58235	59901	+	IS1182	1666	AC2	AC2_5
0	FG12_1_IS_1	IS6_303	157013	157835		IS6	822	FG12	FG12_1
1	FG12_1_IS_2	IS3_271	431217	431655		IS3	438	FG12	FG12_1
4	FG12_1_IS_3	IS3_271	431682	432881		IS3	1199	FG12	FG12_1
7	FG12_1_IS_4	IS6_303	448706	449523	+	IS6	817	FG12	FG12_1
10	FG12_1_IS_5	IS5_222	454939	456025	-	IS5	1086	FG12	FG12_1
13	FG12_1_IS_6	IS3_271	1577797	1578998	-	IS3	1201	FG12	FG12_1
16	FG12_1_IS_7	IS3_271	1582101	1583302	+	IS3	1201	FG12	FG12_1
19	FG12_1_IS_8	IS3_271	2186502	2187701		IS3	1199	FG12	FG12_1
22	FG12_1_IS_9	IS6_303	2190372	2191189	+	IS6	817	FG12	FG12_1
25	FG12_1_IS_10	IS3_271	2426219	2427420		IS3	1201	FG12	FG12_1
28	FG12_1_IS_11	IS3_271	2472501	2473702		IS3	1201	FG12	FG12_1
31	FG12_1_IS_12	IS3_271	2499790	2500989		IS3	1199	FG12	FG12_1
34	FG12_1_IS_13	IS3_271	2511095	2512294		IS3	1199	FG12	FG12_1
0	E12_1_IS_1	IS3_271	246	2598	+	IS3	2352	E12	E12_1
3	E12_1_IS_2	IS3_168	16566	17796	+	IS3	1230	E12	E12_1
6	E12_1_IS_3	IS3_271	33095	34265		IS3	1170	E12	E12_1
9	E12_1_IS_4	IS110_179	42659	44221	-	IS110	1562	E12	E12_1
12	E12_1_IS_5	IS110_208	49137	50528	+	IS110	1391	E12	E12_1
15	E12_1_IS_6	IS3_271	51364	52534		IS3	1170	E12	E12_1
18	E12_1_IS_7	IS3_271	60510	62867		IS3	2357	E12	E12_1
21	E12_1_IS_8	IS3_271	65626	67981		IS3	2355	E12	E12_1
24	E12_1_IS_9	IS3_168	90380	91609	-	IS3	1229	E12	E12_1
27	E12_1_IS_10	IS3_271	97985	99155		IS3	1170	E12	E12_1
30	E12_1_IS_11	IS110_184	110649	111959	-	IS110	1310	E12	E12_1
33	E12_1_IS_12	IS110_208	125082	126630	-	IS110	1548	E12	E12_1
36	E12_1_IS_13	IS66_46	131549	133938	-	IS66	2389	E12	E12_1
39	E12_1_IS_14	IS3_168	133608	134838	-	IS3	1230	E12	E12_1
42	E12_1_IS_15	IS481_213	151530	152259	+	IS481	729	E12	E12_1
45	E12_1_IS_16	IS110_142	158878	160072	+	IS110	1194	E12	E12_1
48	E12_1_IS_17	IS3_271	166804	167973		IS3	1169	E12	E12_1
51	E12_1_IS_18	IS6_303	173312	174130	+	IS6	818	E12	E12_1
54	E12_1_IS_19	IS110_170	173893	175473	+	IS110	1580	E12	E12_1
57	E12_1_IS_20	IS110_208	175734	177104	-	IS110	1370	E12	E12_1
60	E12_1_IS_21	IS3_271	183401	185757		IS3	2356	E12	E12_1
63	E12_1_IS_22	IS3_168	187677	188904	+	IS3	1227	E12	E12_1
66	E12_1_IS_23	IS3_168	189799	191028	-	IS3	1229	E12	E12_1
69	E12_1_IS_24	IS3_271	191350	192520		IS3	1170	E12	E12_1
72	E12_1_IS_25	IS3_168	207448	208677	-	IS3	1229	E12	E12_1
75	E12_1_IS_26	IS6_292	212359	213170	-	IS6	811	E12	E12_1
78	E12_1_IS_27	IS110_208	213993	215216	-	IS110	1223	E12	E12_1
81	E12_1_IS_28	IS1182_100	223291	224823	+	IS1182	1532	E12	E12_1
84	E12_1_IS_29	IS3_271	235479	236648		IS3	1169	E12	E12_1
87	E12_1_IS_30	IS3_271	239533	241888		IS3	2355	E12	E12_1
90	E12_2_IS_1	IS3_271	3820	5033	+	IS3	1213	E12	E12_2
93	E12_2_IS_2	IS110_184	4663	10342		IS110	5679	E12	E12_2
96	E12_2_IS_3	IS3_465	11581	12336	-	IS3	755	E12	E12_2
99	E12_2_IS_4	IS3_271	31231	32445	-	IS3	1214	E12	E12_2
102	E12_2_IS_5	IS110_179	59011	60155	+	IS110	1144	E12	E12_2
105	E12_2_IS_6	IS3_271	76798	77408	+	IS3	610	E12	E12_2
108	E12_2_IS_7	IS3_271	79945	81115	+	IS3	1170	E12	E12_2
111	E12_2_IS_8	IS110_184	131460	137144	-	IS110	5684	E12	E12_2
114	E12_3_IS_1	IS110_179	71743	72841	+	IS110	1098	E12	E12_3
117	E12_3_IS_2	IS3_271	298225	299394		IS3	1169	E12	E12_3
120	E12_3_IS_3	IS3_271	793480	794650	+	IS3	1170	E12	E12_3
123	E12_3_IS_4	IS3_271	795563	796733	-	IS3	1170	E12	E12_3
126	E12_3_IS_5	IS110_184	820194	821789	+	IS110	1595	E12	E12_3
129	E12_3_IS_6	IS3_271	1334132	1335329	-	IS3	1197	E12	E12_3
132	E12_3_IS_7	IS1182_100	1802042	1803572		IS1182	1530	E12	E12_3
135	E12_3_IS_8	IS1182_100	2003831	2005360		IS1182	1529	E12	E12_3
138	E12_3_IS_9	IS110_184	2162512	2163756	+	IS110	1244	E12	E12_3
141	E12_3_IS_10	IS1182_100	2189351	2190880		IS1182	1529	E12	E12_3
144	E12_3_IS_11	IS1182_100	2190887	2192417	-	IS1182	1530	E12	E12_3
147	E12_3_IS_12	IS3_271	2258885	2260055	-	IS3	1170	E12	E12_3
150	E12_3_IS_13	IS3_271	2268891	2270088	+	IS3	1197	E12	E12_3
153	E12_3_IS_14	IS1182_100	2376923	2378455	+	IS1182	1532	E12	E12_3
156	E12_3_IS_15	IS3_168	2584908	2586137	+	IS3	1229	E12	E12_3
159	E12_3_IS_16	IS3_168	2739393	2740623		IS3	1230	E12	E12_3
162	E12_3_IS_17	IS1182_100	2775769	2777347		IS1182	1578	E12	E12_3
165	E12_3_IS_18	IS3_271	2795131	2796300		IS3	1169	E12	E12_3
168	E12_3_IS_19	IS1182_100	2796310	2797854		IS1182	1544	E12	E12_3
171	E12_3_IS_20	IS1182_100	2802202	2803726	+	IS1182	1524	E12	E12_3
174	E12_3_IS_21	IS3_271	2805335	2806504		IS3	1169	E12	E12_3
177	E12_3_IS_22	IS1182_100	2814622	2816151		IS1182	1529	E12	E12_3
180	E12_3_IS_23	IS110_184	2821015	2822587	+	IS110	1572	E12	E12_3
183	E12_3_IS_24	IS6_292	2822611	2823773	-	IS6	1162	E12	E12_3
186	E12_3_IS_25	IS1182_100	2828404	2829934	+	IS1182	1530	E12	E12_3
189	E12_3_IS_26	IS3_271	2844048	2845217		IS3	1169	E12	E12_3
192	E12_3_IS_27	IS3_271	2871938	2873108	+	IS3	1170	E12	E12_3
